Age,Total Number,Number of Females,Number of Males
0,103,50,53
1,77,36,41
2,71,41,30
3,70,29,41
4,68,31,37
5,61,30,31
6,58,28,30
7,51,24,27
8,52,22,30
9,51,29,22
10,51,27,24
11,50,27,23
12,51,26,25
13,48,27,21
14,47,26,21
15,49,25,24
16,48,28,20
17,47,27,20
18,43,19,24
19,42,25,17
20,42,18,24
21,37,16,21
22,39,19,20
23,41,24,17
24,42,17,25
25,43,25,18
26,45,21,24
27,48,26,22
28,49,29,20
29,47,27,20
30,46,24,22
31,42,22,20
32,42,20,22
33,44,22,22
34,46,24,22
35,49,24,25
36,47,23,24
37,48,25,23
38,46,21,25
39,41,24,17
49,41,24,17
41,42,19,23
42,43,26,17
43,38,20,18
44,34,20,14
45,34,15,19
46,33,16,17
47,30,13,17
48,35,20,15
49,26,11,15
50,21,10,11
51,18,9,9
52,14,8,6
53,5,4,1
54,9,4,5
55,7,4,3
56,6,3,3
57,0,0,0
58,4,3,1
59,4,2,2
60,4,2,2
61,3,1,2
62,2,1,1
63,2,1,1
64,1,0,1
65,3,3,0
66,0,0,0
67,2,0,2
68,1,1,0
69,0,0,0
70,2,2,0
